440:[(1.421187162399292, 'DumpSSIMRetrieveState'), (1.886749029159546, 'DumpSSIMState'), (148.23324704170227, 'FinalState')]
444:[(1.421539068222046, 'DumpSSIMRetrieveState'), (3.0104410648345947, 'DumpSSIMState'), (143.73373007774353, 'FinalState')]
448:[(1.4218981266021729, 'DumpSSIMRetrieveState'), (2.1074681282043457, 'DumpSSIMState'), (137.12711310386658, 'FinalState')]
452:[(1.4222350120544434, 'DumpSSIMRetrieveState'), (2.623889207839966, 'DumpSSIMState'), (136.96701002120972, 'FinalState')]
456:[(1.4225871562957764, 'DumpSSIMRetrieveState'), (4.359589099884033, 'DumpSSIMState'), (137.5329270362854, 'FinalState')]
460:[(1.4229450225830078, 'DumpSSIMRetrieveState'), (2.4716410636901855, 'DumpSSIMState'), (143.08898401260376, 'FinalState')]
464:[(1.4233100414276123, 'DumpSSIMRetrieveState'), (5.178762197494507, 'DumpSSIMState'), (153.7430820465088, 'FinalState')]
468:[(1.4249341487884521, 'DumpSSIMRetrieveState'), (3.372427225112915, 'DumpSSIMState'), (141.74407601356506, 'FinalState')]
472:[(1.4314961433410645, 'DumpSSIMRetrieveState'), (2.144862174987793, 'DumpSSIMState'), (139.88624119758606, 'FinalState')]
476:[(1.4391891956329346, 'DumpSSIMRetrieveState'), (4.434769153594971, 'DumpSSIMState'), (134.0194480419159, 'FinalState')]
480:[(1.4435632228851318, 'DumpSSIMRetrieveState'), (4.161833047866821, 'DumpSSIMState'), (146.7059841156006, 'FinalState')]
484:[(1.4453320503234863, 'DumpSSIMRetrieveState'), (2.4465060234069824, 'DumpSSIMState'), (145.49281001091003, 'FinalState')]
488:[(1.4470491409301758, 'DumpSSIMRetrieveState'), (2.6898930072784424, 'DumpSSIMState'), (140.07514715194702, 'FinalState')]
492:[(1.4475090503692627, 'DumpSSIMRetrieveState'), (3.9622931480407715, 'DumpSSIMState'), (133.64785599708557, 'FinalState')]
496:[(1.447883129119873, 'DumpSSIMRetrieveState'), (3.916616201400757, 'DumpSSIMState'), (158.37810611724854, 'FinalState')]
500:[(1.4482381343841553, 'DumpSSIMRetrieveState'), (4.041412115097046, 'DumpSSIMState'), (137.74232411384583, 'FinalState')]
504:[(1.4485931396484375, 'DumpSSIMRetrieveState'), (4.105368137359619, 'DumpSSIMState'), (141.47058510780334, 'FinalState')]
508:[(1.4489691257476807, 'DumpSSIMRetrieveState'), (2.271841049194336, 'DumpSSIMState'), (148.09895300865173, 'FinalState')]
512:[(1.4505760669708252, 'DumpSSIMRetrieveState'), (4.002981185913086, 'DumpSSIMState'), (140.05650901794434, 'FinalState')]
516:[(1.4522731304168701, 'DumpSSIMRetrieveState'), (3.0717151165008545, 'DumpSSIMState'), (147.80683517456055, 'FinalState')]
520:[(1.4564011096954346, 'DumpSSIMRetrieveState'), (2.178413152694702, 'DumpSSIMState'), (136.8110191822052, 'FinalState')]
524:[(1.462433099746704, 'DumpSSIMRetrieveState'), (4.386384010314941, 'DumpSSIMState'), (132.73579216003418, 'FinalState')]
528:[(1.4653902053833008, 'DumpSSIMRetrieveState'), (2.892965078353882, 'DumpSSIMState'), (127.10346221923828, 'FinalState')]
532:[(1.4659490585327148, 'DumpSSIMRetrieveState'), (3.4459941387176514, 'DumpSSIMState'), (134.32340216636658, 'FinalState')]
536:[(1.4664361476898193, 'DumpSSIMRetrieveState'), (4.84364914894104, 'DumpSSIMState'), (130.79080605506897, 'FinalState')]
540:[(1.46681809425354, 'DumpSSIMRetrieveState'), (2.9039740562438965, 'DumpSSIMState'), (135.65178203582764, 'FinalState')]
544:[(1.467210054397583, 'DumpSSIMRetrieveState'), (2.662353038787842, 'DumpSSIMState'), (147.58347511291504, 'FinalState')]
548:[(1.4687910079956055, 'DumpSSIMRetrieveState'), (4.664476156234741, 'DumpSSIMState'), (130.40092611312866, 'FinalState')]
552:[(1.4691870212554932, 'DumpSSIMRetrieveState'), (4.7308502197265625, 'DumpSSIMState'), (137.9537181854248, 'FinalState')]
556:[(1.4695792198181152, 'DumpSSIMRetrieveState'), (3.3870201110839844, 'DumpSSIMState'), (123.76601505279541, 'FinalState')]
560:[(1.4700160026550293, 'DumpSSIMRetrieveState'), (2.2233622074127197, 'DumpSSIMState'), (138.7868971824646, 'FinalState')]
564:[(1.4703991413116455, 'DumpSSIMRetrieveState'), (5.246358156204224, 'DumpSSIMState'), (151.55870819091797, 'FinalState')]
568:[(1.4720351696014404, 'DumpSSIMRetrieveState'), (2.2887232303619385, 'DumpSSIMState'), (182.76127219200134, 'FinalState')]
572:[(1.4736950397491455, 'DumpSSIMRetrieveState'), (5.762388229370117, 'DumpSSIMState'), (131.97107219696045, 'FinalState')]
576:[(1.4777851104736328, 'DumpSSIMRetrieveState'), (5.410531044006348, 'DumpSSIMState'), (146.37995219230652, 'FinalState')]
580:[(1.483276128768921, 'DumpSSIMRetrieveState'), (3.8574302196502686, 'DumpSSIMState'), (132.8989701271057, 'FinalState')]
584:[(1.4875550270080566, 'DumpSSIMRetrieveState'), (1.9096360206604004, 'DumpSSIMState'), (133.56520199775696, 'FinalState')]
588:[(1.4893841743469238, 'DumpSSIMRetrieveState'), (3.1410341262817383, 'DumpSSIMState'), (137.7657651901245, 'FinalState')]
592:[(1.4899241924285889, 'DumpSSIMRetrieveState'), (2.234363079071045, 'DumpSSIMState'), (133.66573905944824, 'FinalState')]
596:[(1.4903841018676758, 'DumpSSIMRetrieveState'), (3.2840821743011475, 'DumpSSIMState'), (134.32062411308289, 'FinalState')]
600:[(1.4907870292663574, 'DumpSSIMRetrieveState'), (2.2059240341186523, 'DumpSSIMState'), (128.7833070755005, 'FinalState')]
604:[(1.4911630153656006, 'DumpSSIMRetrieveState'), (4.905237197875977, 'DumpSSIMState'), (131.22956919670105, 'FinalState')]
608:[(1.4915461540222168, 'DumpSSIMRetrieveState'), (1.981997013092041, 'DumpSSIMState'), (146.44415712356567, 'FinalState')]
612:[(1.4919400215148926, 'DumpSSIMRetrieveState'), (5.656585216522217, 'DumpSSIMState'), (168.82679414749146, 'FinalState')]
616:[(1.492340087890625, 'DumpSSIMRetrieveState'), (2.182793140411377, 'DumpSSIMState'), (140.1845190525055, 'FinalState')]
620:[(1.494028091430664, 'DumpSSIMRetrieveState'), (2.623939037322998, 'DumpSSIMState'), (137.64141607284546, 'FinalState')]
624:[(1.49562406539917, 'DumpSSIMRetrieveState'), (4.0663721561431885, 'DumpSSIMState'), (139.8559811115265, 'FinalState')]
628:[(1.500967025756836, 'DumpSSIMRetrieveState'), (6.824136018753052, 'DumpSSIMState'), (133.1827850341797, 'FinalState')]
632:[(1.5076382160186768, 'DumpSSIMRetrieveState'), (4.552799224853516, 'DumpSSIMState'), (138.16542506217957, 'FinalState')]
636:[(1.510707139968872, 'DumpSSIMRetrieveState'), (5.225714206695557, 'DumpSSIMState'), (141.89925813674927, 'FinalState')]
640:[(1.5112922191619873, 'DumpSSIMRetrieveState'), (2.8302061557769775, 'DumpSSIMState'), (142.87118220329285, 'FinalState')]
644:[(1.5117051601409912, 'DumpSSIMRetrieveState'), (5.402456045150757, 'DumpSSIMState'), (129.5925681591034, 'FinalState')]
648:[(1.5120761394500732, 'DumpSSIMRetrieveState'), (6.141932010650635, 'DumpSSIMState'), (138.2362780570984, 'FinalState')]
652:[(1.5125470161437988, 'DumpSSIMRetrieveState'), (3.784217119216919, 'DumpSSIMState'), (130.7140371799469, 'FinalState')]
656:[(1.5129530429840088, 'DumpSSIMRetrieveState'), (3.0481841564178467, 'DumpSSIMState'), (154.85174822807312, 'FinalState')]
660:[(1.5133590698242188, 'DumpSSIMRetrieveState'), (2.6430270671844482, 'DumpSSIMState'), (146.71934604644775, 'FinalState')]
664:[(1.513822078704834, 'DumpSSIMRetrieveState'), (1.886904001235962, 'DumpSSIMState'), (133.65538001060486, 'FinalState')]
668:[(1.5154330730438232, 'DumpSSIMRetrieveState'), (5.961740016937256, 'DumpSSIMState'), (165.3857741355896, 'FinalState')]
672:[(1.5158610343933105, 'DumpSSIMRetrieveState'), (2.0412871837615967, 'DumpSSIMState'), (162.33585000038147, 'FinalState')]
676:[(1.5175611972808838, 'DumpSSIMRetrieveState'), (2.144925117492676, 'DumpSSIMState'), (152.1167130470276, 'FinalState')]
680:[(1.5210061073303223, 'DumpSSIMRetrieveState'), (2.248955011367798, 'DumpSSIMState'), (160.3678011894226, 'FinalState')]
